text,label
i didnt feel humiliated,anger
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,anger
im grabbing a minute to post i feel greedy wrong,joy
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,fear
i am feeling grouchy,joy
ive been feeling a little burdened lately wasnt sure why that was,anger
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,sadness
i feel as confused about life as a teenager or as jaded as a year old man,neutral
i have been with petronas for years i feel that petronas has performed well and made a huge profit,disgust
i feel romantic too,fear
i feel like i have to make the suffering i m seeing mean something,anger
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,disgust
i think it s the easiest time of year to feel dissatisfied,joy
i feel low energy i m just thirsty,anger
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,disgust
i do not feel reassured anxiety is on each side,disgust
i didnt really feel that embarrassed,anger
i feel pretty pathetic most of the time,anger
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,anger
i now feel compromised and skeptical of the value of every unit of work i put in,neutral
i feel irritated and rejected without anyone doing anything or saying anything,joy
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,neutral
i have the feeling she was amused and delighted,disgust
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,disgust
i already feel like i fucked up though because i dont usually eat at all in the morning,joy
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,anger
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,anger
i become overwhelmed and feel defeated,anger
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,joy
i feel more superior dead chicken or grieving child,disgust
i get giddy over feeling elegant in a perfectly fitted pencil skirt,disgust
i remember feeling acutely distressed for a few days,neutral
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,sadness
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,joy
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,disgust
i am not sure what would make me feel content if anything,disgust
i have been feeling the need to be creative,disgust
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,disgust
