Text,Label
@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,surprise
Layin n bed with a headache  ughhhh...waitin on your call...,sadness
Funeral ceremony...gloomy friday...,sadness
wants to hang out with friends SOON!,joy
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",sadness
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,sadness
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sadness
Hmmm. http://www.djhero.com/ is down,sadness
@charviray Charlene my love. I miss you,sadness
@kelcouch I'm sorry  at least it's Friday?,sadness
cant fall asleep,sadness
Choked on her retainers,neutral
Ugh! I have to beat this stupid song to get to the next  rude!,sadness
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,surprise
Got the news,neutral
The storm is here and the electricity is gone,sadness
@annarosekerr agreed,neutral
So sleepy again and it's not even that late. I fail once again.,sadness
@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,surprise
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,surprise
@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,sadness
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",surprise
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,surprise
I ate Something I don't know what it is... Why do I keep Telling things about food,surprise
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,sadness
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,sadness
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",anger
Damm servers still down  i need to hit 80 before all the koxpers pass me,sadness
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,sadness
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,anger
It is so annoying when she starts typing on her computer in the middle of the night!,anger
@cynthia_123 i cant sleep,sadness
I missed the bl***y bus!!!!!!!!,sadness
feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,sadness
SoCal!  stoked. or maybe not.. tomorrow,joy
Screw you @davidbrussee! I only have 3 weeks...,anger
@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,surprise
I need skott right now,neutral
has work this afternoon,neutral
@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,sadness
mmm much better day... so far! it's still quite early. last day of #uds,sadness
@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,joy
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,anger
Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,neutral
@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,sadness
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",sadness
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",surprise
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,surprise
"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",surprise
wnna take a bath!!!!,neutral
Chocolate milk is so much better through a straw. I lack said straw,neutral
why am i so tired?,surprise
@djmicdamn hey yu lil fucker i textd yu,joy
"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",surprise
@benballer  no way! damn that sucks B!  are you ok?,surprise
sucks not being able to take days off of work or have the money to take the trip  so sad,sadness
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",joy
@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,sadness
@lostluna But I got dibs on Sulu...,surprise
"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",sadness
@itsgabbith at once haha.  poor aby still gets sore!,sadness
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness
I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,sadness
@Pokinatcha  in all honesty...pain   blech.,sadness
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,surprise
At home alone with not much to do,sadness
@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,sadness
@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,sadness
So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,sadness
"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",joy
I cant give @jertronic any bday nudges.,sadness
...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',fear
Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,neutral
says I miss plurking.  http://plurk.com/p/wxion,sadness
"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",disgust
I miss Voobys!,sadness
@Dancing_Monk Neither are ELP!!,surprise
"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",surprise
is sad that shin ae got married...and it wasn't to alex,sadness
"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",surprise
@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,surprise
there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,sadness
"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",sadness
"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",sadness
@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,joy
fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,sadness
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,surprise
@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,sadness
I can't sleep...I keep thinking about the puppy I played with today,sadness
.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,sadness
@lepetitagneau what's going on sweetheart?,surprise
"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",anger
"Last one month due to summer, strawberry is not availble in the Chennai markets!",sadness
@willxxmobb work at 6am. Gotta go to bed soon,neutral
@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,surprise
@sweeetnspicy hiii im on my ipod...i cant fall asleep,sadness
dont wanna work 11-830 tomorrow  but i get paid,sadness
feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,sadness
PrinceCharming,neutral
@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,sadness
First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),fear
@mrgenius23 You win ... SIGH Rakeem,surprise
Oh is that time for real?,surprise
Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,disgust
Oh no one minute too late! Oh well,surprise
"@soviet_star Damn, that sucks",sadness
@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,sadness
@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,surprise
ahh! big scary bug flying around my room!!!!!,fear
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",surprise
is up with a nasty cough i cant be sick i have a huge weekend ahead of me,sadness
@justamedicine  That was stone cold   Crazy....  ?,surprise
i'm so tired,sadness
shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,joy
@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,neutral
@thecreativeone I second that. I wish it rained more where I am,surprise
@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,surprise
damn it were is Eric or anyone else when you need your hair to be played with,neutral
I'm feel deflated. Ugh. No more dog.,sadness
Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,disgust
Well it almost was a good day... Guess I just retry tomorrow,joy
@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,joy
@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,joy
"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",surprise
@britblackbird  youstinkatrespondingtotexts!,neutral
wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,sadness
"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",sadness
Is miserable  i feel like im gona cry  sux!,sadness
@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,surprise
$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,surprise
"claire @breakfastnt love the show, got into the office @ 5am and no radio",sadness
Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,joy
*sigh* I'm going to bed... I just don't feel right anymore...,sadness
What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,surprise
@jwillock EpiCentre Wheelock Place - tourists only..,sadness
Now I am depressed after watching so you think you can dance,sadness
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",disgust
miss 16'th,sadness
"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",surprise
"I cant sleep, but im too sore to move",sadness
@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,sadness
@softtouchme just answered you- never learned how to write in French- just basic stuff-,surprise
what is it with chocolates? i just can never say no,surprise
Achieving a new appreciation on how a xml build script can really be painful and cumbersome,sadness
@ether_radio i'm too awake now  ill have a nap this afternoon,sadness
@omfgiselle i cant do anything,sadness
still needs another 6 hours of sleep,neutral
I'm at work,neutral
RIP leonardo. You were a great mini fiddler crab,neutral
"Morning tweeple,way to early again",neutral
"Last day working for the Uni today, sad times",sadness
"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",joy
My head hurts so bad I could scream!,fear
i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,sadness
