Text,Label,Predicted Label
@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,empty,surprise
Layin n bed with a headache  ughhhh...waitin on your call...,sadness,
Funeral ceremony...gloomy friday...,sadness,sadness
wants to hang out with friends SOON!,enthusiasm,
"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",neutral,
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,worry,
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sadness,
Hmmm. http://www.djhero.com/ is down,worry,
@charviray Charlene my love. I miss you,sadness,
@kelcouch I'm sorry  at least it's Friday?,sadness,sadness
cant fall asleep,neutral,
Choked on her retainers,worry,neutral
Ugh! I have to beat this stupid song to get to the next  rude!,sadness,
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,sadness,
Got the news,surprise,
The storm is here and the electricity is gone,sadness,sadness
@annarosekerr agreed,love,
So sleepy again and it's not even that late. I fail once again.,sadness,
@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,worry,surprise
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sadness,surprise
@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,worry,
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",fun,
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,neutral,
I ate Something I don't know what it is... Why do I keep Telling things about food,worry,
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,sadness,
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,worry,
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",sadness,
Damm servers still down  i need to hit 80 before all the koxpers pass me,worry,
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,sadness,
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,worry,
It is so annoying when she starts typing on her computer in the middle of the night!,hate,anger
@cynthia_123 i cant sleep,neutral,
I missed the bl***y bus!!!!!!!!,neutral,
feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,neutral,sadness
SoCal!  stoked. or maybe not.. tomorrow,neutral,
